data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,overTraining,,,,,,,
speed,,0,0,8.48458,9.48739,10.2649,14.6034,0
elevationGradient,,0,-0.0855265,-0.00787591,0,0.00790036,0.136678,0
heartRate,,0,52.2,146.4,175.2,179.6,194,0
