data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,5.62224,6.71764,8.86892,12.9358,0
elevationGradient,,0,-0.339747,-0.0341412,0,0.0427626,3.00074,0
heartRate,,0,0,0,0,0,0,0
