data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,7.41056,9.51382,10.7495,15.0314,0
elevationGradient,,0,-0.205645,-0.0364296,0,0.0395105,0.214619,0
heartRate,,0,67.4,128.4,172,182.4,200,0
