data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,7.73803,9.45547,10.4232,15.7959,0
elevationGradient,,0,-0.724968,-0.041333,0,0.0349517,0.257587,0
heartRate,,0,67.8,127.6,168,176.4,186.6,0
