data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,8.14463,9.23775,10.1838,13.7144,0
elevationGradient,,0,-0.449889,-0.0344727,0,0.0469042,0.167688,0
heartRate,,0,69.8,162.8,171.8,178.4,192.4,0
