data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,4.39819,8.17248,9.61533,13.5666,0
elevationGradient,,0,-0.337995,-0.0376647,-0.00671352,0.03651,0.21092,0
heartRate,,0,70.2,86.4,162.8,175,190.8,0
