data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,6.27976,9.12979,10.4358,13.4943,0
elevationGradient,,0,-0.251038,-0.0154864,0,0.0133211,0.266779,0
heartRate,,0,68,145.2,173.4,179.4,202,0
