data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,2.25213,10.6783,11.8281,12.9487,16.2946,0
elevationGradient,,0,-0.146012,-0.0426016,0.00664825,0.0363639,0.176888,0
heartRate,,0,84.2,179.6,183.6,187.2,202.6,0
