data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0.176253,7.11633,8.90053,10.0736,12.3837,0
elevationGradient,,0,-0.0998519,-0.013282,0,0.013897,0.0838579,0
heartRate,,0,69,123,128.2,133.2,181.6,0
