data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,5.47327,8.31737,9.45938,14.4132,0
elevationGradient,,0,-0.449337,-0.0345458,0,0.0400716,0.228633,0
heartRate,,0,56,89,154.2,171,190,0
