data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,1.57643,4.15656,4.52372,5.05883,6.69245,0
elevationGradient,,0,-0.0561745,-0.00936767,0,0.00862173,0.0626594,0
heartRate,,0,0,0,0,0,0,0
