data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,5.99726,10.7478,11.9386,14.2936,0
elevationGradient,,0,-0.133647,-0.00699899,0,0.0220763,0.144963,0
heartRate,,0,73.2,108.8,131.6,139,186.8,0
