data,description,average,minimum,quartile1,median,quartile3,maximum,variance
label,regular,,,,,,,
speed,,0,0,7.97346,9.12732,9.92595,13.0054,0
elevationGradient,,0,-0.170549,-0.00898082,0,0.00831787,0.136035,0
heartRate,,0,75,112.2,118,123,143.6,0
